word,missing_cefr,source_pos,source_def_idx,sense_text,badge,found_in_lines,found_in_declared_cef
literally,C1,adverb,3,"used to emphasize a word or phrase, even if it is not actually true in a literal sense",B2,2931,B2
literary,C1,adjective,2,suitable for or typical of a work of literature,B2,2930,B2
literary,C1,adjective,3,liking literature very much; studying or writing literature,B2,2930,B2
litter,C2,noun,3,"a dry substance that is put in a shallow open box for pets, especially cats, to use as a toilet when they are indoors",B2,2932,B2
litter,C2,noun,4,a number of baby animals that one mother gives birth to at the same time,B2,2932,B2
lobby,C2,noun,4,an organized attempt by a group of people to influence politicians on a particular issue,C1,2666,C1
logic,C2,noun,4,a system or set of principles used in preparing a computer or electronic device to perform a particular task,C1,2667,C1
loop,C2,noun,6,a railway line or road that leaves the main track or road and then joins it again,C1,2669,C1
lush,C1,adjective,1,growing thickly and strongly in a way that is attractive; covered in healthy grass and plants,,356,UNCLASSIFIED
magnitude,C2,noun,3,the size of an earthquake,C1,2670,C1
maintenance,C2,noun,3,the money needed for somebody's living expenses; the act of providing this money,C1,2671,C1
make-up,C1,noun,2,the different qualities that combine to form somebody’s character or being,B2,2943,B2
make-up,C1,noun,3,"the different things, people, etc. that combine to form something; the way in which they combine",B2,2943,B2
make-up,C2,noun,4,a special exam taken by students who missed or failed an earlier one,B2,2944,B2
manual,C2,noun,2,a vehicle with a system of gears operated by the driver using a gear lever,,1611,UNCLASSIFIED
manufacture,C1,verb,2,"to invent a story, an excuse, etc.",B2,2933,B2
marathon,C1,noun,2,"an activity or a piece of work that lasts a long time and requires a lot of effort, concentration, etc.",B2,2941,B2
march,C2,noun,4,a piece of music written for marching to,C1,2675,C1
margin,C1,noun,2,"the amount of time, or number of votes, etc. by which somebody wins something",B2,2607,B2
margin,C1,noun,3,the difference between the cost of buying or producing something and the price that it is sold for,B2,2607,B2
marginal,C2,adjective,4,won or lost by a very small number of votes and therefore very important or interesting as evidence of public opinion,C1,2672,C1
marginal,C2,adjective,6,that cannot produce enough good crops to make a profit,C1,2672,C1
marker,C2,noun,5,a player who stays close to a player on the other team in order to stop them getting the ball,B2,2935,B2
mask,C2,noun,3,a thick cream made of various substances that you put on your face and neck in order to improve the quality of your skin,C1,2674,C1
mate,C2,noun,7,an officer in a commercial ship below the rank of captain or master,B2,2934,B2
mature,C2,adjective,3,"developed over a period of time to produce a strong, rich taste",C1,2673,C1
mechanic,C1,noun,2,the science of movement and force,B2,2936,B2
mechanical,C1,adjective,4,connected with the physical laws of movement and cause and effect (= with mechanics),B2,2937,B2
mechanism,C1,noun,2,a method or a system for achieving something,B2,2522,B2
mechanism,C1,noun,3,a system of parts in a living thing that together perform a particular function,B2,2522,B2
mediate,C2,verb,2,to succeed in finding a solution to a problem between people or groups who disagree,,1612,UNCLASSIFIED
membership,C1,noun,2,"the members, or the number of members, of a group, a club, an organization, etc.",B2,2939,B2
merit,C2,noun,3,a grade in an exam or for a piece of work at school or university that is very good,C1,2676,C1
merit,C2,noun,4,a special mark or award given as a reward for good behaviour at school,C1,2676,C1
migrate,B2,verb,1,to move from one part of the world to another according to the season,,2785,UNCLASSIFIED
migrate,C1,verb,2,"to move from one town, country, etc. to go and live and/or work in another",,1613,UNCLASSIFIED
ministry,C2,noun,2,the work of a minister of religion,C1,2677,C1
ministry,C2,noun,3,the spiritual work or service of a Christian or group of Christians; the period of time spent serving the Church,C1,2677,C1
miserable,C1,adjective,3,"always unhappy, unfriendly and in a bad mood",B2,2606,B2
mob,C2,noun,4,a group of animals,C1,2678,C1
mode,C1,noun,2,the way in which a piece of equipment is set to perform a particular task,B2,2938,B2
modest,C1,adjective,3,"shy about showing much of the body; not intended to attract attention, especially in a sexual way",B2,2940,B2
momentum,C2,noun,3,"the quantity of movement of a moving object, measured as its mass multiplied by its speed",C1,2679,C1
monster,C1,noun,2,an animal or a thing that is very large or ugly,B2,2942,B2
monster,C1,noun,3,a person who is very cruel and evil,B2,2942,B2
motion,C1,noun,2,"a particular movement made usually with your hand or your head, especially to communicate something",B2,2946,B2
motion,C1,noun,3,a formal proposal that is discussed and voted on at a meeting,B2,2946,B2
naked,C1,adjective,2,with nothing to cover it,B2,2945,B2
naked,C1,adjective,3,expressed strongly and not hidden,B2,2945,B2
navigate,B2,verb,1,"to plan and direct the course of ship, plane, car etc., for example by using a map",,2571,UNCLASSIFIED
navigate,B2,verb,2,"to sail along, over or through a sea, river etc.",,2571,UNCLASSIFIED
navigate,C1,verb,4,to find your way around on the internet or on a particular website,,2572,UNCLASSIFIED
navigation,C1,noun,2,the movement of ships or aircraft,B2,2947,B2
navigation,C1,noun,3,the way that you move around a website or the internet when you are looking for information,B2,2947,B2
necessity,C1,noun,3,a situation that must happen and that cannot be avoided,B2,2950,B2
nerve,C2,noun,3,the courage to do something difficult or dangerous,B2,2583,B2
neutral,C1,adjective,4,not affected by something,B2,2951,B2
neutral,C1,adjective,5,"not very bright or strong, such as grey or light brown",B2,2951,B2
niche,C2,noun,3,"a small hollow place, especially in a wall to contain a statue, etc., or in the side of a hill",C1,2680,C1
norm,C1,noun,2,standards of behaviour that are typical of or accepted within a particular group or society,B2,2948,B2
norm,C1,noun,3,"a required or agreed standard, amount, etc.",B2,2948,B2
nursery,C2,noun,3,a room in a house where young children can play,C1,2681,C1
nursery,C2,noun,4,a place where young plants and trees are grown for sale or for planting somewhere else,C1,2681,C1
nutrition,C1,noun,2,food that is needed to grow and be healthy,B2,2949,B2
observer,C1,noun,2,"a person who attends a meeting, lesson, etc. to listen and watch but not to take part",B2,2952,B2
obstacle,C1,noun,2,an object that is in your way and that makes it difficult for you to move forward,B2,2954,B2
occupation,C1,noun,2,"the way in which you spend your time, especially when you are not working",B2,2953,B2
occupation,C1,noun,4,"the act of living in or using a building, room, piece of land, etc.",B2,2953,B2
occupy,C1,verb,2,"to live or work in a room, house or building",B2,2957,B2
occupy,C1,verb,3,"to enter a place in a large group and take control of it, especially by military force",B2,2957,B2
occupy,C1,verb,4,to fill your time or keep you busy doing something,B2,2957,B2
offender,C1,noun,2,a person or thing that does something wrong,B2,2772,B2
opera,C1,noun,2,a company that performs opera; a building in which operas are performed,B2,2956,B2
operator,C2,noun,5,a symbol or function which represents an operation in mathematics,B2,2955,B2
orchestra,C2,noun,2,the seats that are nearest to the stage in a theatre,B2,2608,B2
organic,C1,adjective,2,produced by or from living things,B2,2958,B2
organic,C1,adjective,3,relating to chemical compounds that contain carbon and mainly or ultimately come from living things,B2,2958,B2
outsider,C2,noun,3,a person or an animal taking part in a race or competition that is not expected to win,C1,2682,C1
outstanding,C1,adjective,2,"not yet paid, done, solved, etc.",B2,2960,B2
overcome,C1,verb,2,to defeat somebody,B2,2959,B2
overcome,C1,verb,3,to affect somebody very strongly,B2,2959,B2
overnight,C1,adverb,2,suddenly or quickly,B2,2961,B2
pad,C2,noun,3,"the soft part under the foot of a cat, dog, etc.",C1,2684,C1
pad,B2,noun,6,"a piece of thick material that you wear in some sports, for example football and cricket, to protect parts of your body",C1,2683,C1
parade,C2,noun,4,a street with a row of small shops,B2,2771,B2
paranoid,C2,adjective,1,"believing that other people dislike you or want to harm you, when there is no reason or evidence for this",,318,UNCLASSIFIED
paranoid,C2,adjective,2,"having false beliefs because of a mental illness, especially the belief that people are trying or planning to harm you",,318,UNCLASSIFIED
partial,C2,adjective,2,liking somebody/something very much,C1,2685,C1
partnership,C1,noun,3,a business owned by two or more people who share the profits,B2,2962,B2
patch,C2,noun,5,a piece of material that people can wear on their skin to help them to stop smoking,C1,2687,C1
peak,C2,noun,4,the stiff front part of a cap that sticks out above your eyes,C1,2689,C1
peculiar,C2,adjective,3,slightly ill,C1,2688,C1
peer,C1,noun,2,(in the UK) a member of the nobility or the House of Lords,B2,2964,B2
penalty,C1,noun,2,a disadvantage suffered as a result of something,B2,2963,B2
penalty,C1,noun,3,a disadvantage given to a player or a team when they break a rule,B2,2963,B2
perceive,C1,verb,2,to notice or become aware of something,B2,2609,B2
perception,C1,noun,2,"the way you notice things, especially with the senses",B2,2542,B2
perception,C1,noun,3,the ability to understand the true nature of something,B2,2542,B2
phenomenon,C2,noun,2,a person or thing that is very successful or impressive,B2,2514,B2
pigment,C2,noun,2,"a coloured powder that is mixed with a liquid to produce paint, etc.",,2560,UNCLASSIFIED
pile,C2,noun,6,a large impressive building,B2,2584,B2
pitch,C1,noun,2,"how high or low a sound is, especially a musical note",B2,2585,B2
pitch,C2,noun,4,talk or arguments used by a person trying to sell something or persuade people to do something,B2,2586,B2
pity,C1,noun,2,a sad feeling caused by the pain and troubles of others,B2,2967,B2
placement,C1,noun,3,the act of placing something somewhere,B2,2965,B2
plague,C2,verb,1,to cause pain or trouble to somebody/something over a period of time,,240,UNCLASSIFIED
plead,C2,verb,3,to present a case to a court,C1,2690,C1
poised,C2,adjective,4,having a calm and confident manner and in control of your feelings and behaviour,,2516,UNCLASSIFIED
pole,C2,noun,3,"either of the two ends of a magnet, or the positive or negative points of an electric battery",C1,2691,C1
pop,C2,verb,7,"if your eyes pop or pop out, they suddenly open fully because you are surprised or excited",A2,2694,C1
pop,C2,verb,8,"to take a lot of a drug, regularly",A2,2694,C1
precede,C1,verb,2,to go in front of somebody,B2,2610,B2
precise,C1,adjective,3,"taking care to be exact and accurate, especially about small details",B2,2966,B2
premier,C2,noun,2,(in Canada) the first minister of a province or territory,C1,2692,C1
pride,C2,noun,5,a group of lions,B2,2968,B2
primitive,C1,adjective,2,belonging to an early stage in the development of humans or animals,,122,UNCLASSIFIED
probe,C2,noun,2,a spacecraft without people on board that obtains information and sends it back to earth,C1,2693,C1
probe,C2,noun,3,"a long, thin metal tool used by doctors for examining inside the body",C1,2693,C1
probe,C2,noun,4,a small device put inside something and used by scientists to test something or record information,C1,2693,C1
proceed,C1,verb,3,to move or travel in a particular direction,B2,2611,B2
programming,C1,noun,2,the planning of which television or radio programmes to broadcast,B2,2969,B2
progressive,C1,adjective,2,happening or developing steadily,B2,2970,B2
progressive,C2,adjective,4,at a higher percentage as the total amount of money being taxed increases,B2,2971,B2
prompt,C1,verb,2,to encourage somebody to speak by asking them questions or suggesting words that they could say,B2,2773,B2
prompt,C2,verb,3,to follow the text of a play and remind the actors what the words are if they forget their lines,B2,2774,B2
proportion,C1,noun,3,"the correct relationship in size, degree, importance, etc. between one thing and another or between the parts of a whole",B2,2972,B2
proportion,C1,noun,4,the measurements of something; its size and shape,B2,2972,B2
protocol,C2,noun,4,a plan for performing a scientific experiment or medical treatment,C1,2696,C1
pulse,C2,noun,4,"the seeds of some plants that are eaten as food, such as peas and lentils",C1,2697,C1
pump,C2,noun,3,a woman’s formal shoe that is plain and does not cover the top part of the foot,C1,2702,C1
pump,C2,noun,4,"a woman’s light, soft flat shoe worn for dancing or exercise; a similar style of shoe worn as a fashion item",C1,2702,C1
punch,C2,noun,4,"a hot or cold drink made by mixing water, fruit juice, spices and usually wine or another alcoholic drink",C1,2701,C1
pupil,C2,noun,3,the small round black area at the centre of the eye,B2,2587,B2
pursuit,C1,noun,2,"the act of following or going after somebody, especially in order to catch them",B2,2973,B2
pursuit,C1,noun,3,"something that you give your time and energy to, that you do as a hobby",B2,2973,B2
puzzle,C1,noun,2,something that is difficult to understand or explain,B2,2975,B2
rally,C2,noun,3,a series of hits of the ball before a point is scored,C1,2698,C1
rape,C2,noun,3,"a plant with bright yellow flowers, grown as food for farm animals and for its seeds that are used to make oil",C1,2699,C1
rating,C2,noun,3,a number or letter that shows which groups of people a particular film is suitable for,B2,2977,B2
rating,C2,noun,4,a sailor in the navy who is not an officer,B2,2977,B2
ray,C2,noun,3,"a sea fish with a large broad flat body and a long tail, that is used for food",C1,2700,C1
receiver,C2,noun,6,a player who plays in a position in which the ball can be caught when it is being passed forward,B2,2978,B2
recess,C2,noun,1,"a period of time during the year when the members of a parliament, committee, etc. do not meet",,519,UNCLASSIFIED
recess,C2,noun,2,a short break in a trial in court,,519,UNCLASSIFIED
recess,C2,noun,3,a period of time between lessons at school,,519,UNCLASSIFIED
reckon,C1,verb,2,to be generally considered to be something,B2,1639,B2
recognition,C1,noun,2,"the act of accepting that something exists, is true or is official",B2,2983,B2
recognition,C1,noun,3,public praise and reward for somebody’s work or actions,B2,2983,B2
recovery,C1,noun,2,the process of improving or becoming stronger again,B2,2979,B2
recovery,C2,noun,4,the room in a hospital where patients are kept immediately after an operation,B2,2980,B2
referee,C2,noun,3,a person who is asked to settle an argument,B2,2982,B2
refine,C1,verb,1,to make a substance pure by taking other substances out of it,,1622,UNCLASSIFIED
registration,C1,noun,4,the time when a teacher looks at the list of students on the class register and checks that the students are present,B2,2984,B2
regulation,C1,noun,2,controlling something by means of rules,B2,2474,B2
reinforce,C1,verb,2,"to make a structure or material stronger, especially by adding another material to it",B2,2543,B2
rejection,C2,noun,4,the failure of somebody's body to accept a new organ after a transplant operation,C1,2703,C1
relieve,C1,verb,2,to make a problem less serious,B2,2985,B2
render,C2,verb,6,to cover a wall with a layer of plaster or cement,C1,2705,C1
representation,C2,noun,3,"formal statements made to somebody in authority, especially in order to make your opinions known or to protest",C1,2704,C1
resilient,C2,adjective,2,"returning to its original shape after being bent, stretched, or pressed",,310,UNCLASSIFIED
resistance,C2,noun,4,a force that stops something moving or makes it move more slowly,C1,2520,C1
resistance,C2,noun,5,the opposition of a substance or device to the flow of an electrical current,C1,2520,C1
resistance,C2,noun,6,"a secret organization that resists the authorities, especially in a country that an enemy has control of",C1,2520,C1
resolution,C1,noun,2,"a formal statement of an opinion agreed on by a committee or a council, especially by means of a vote",B2,2986,B2
resolution,C1,noun,3,"the act of solving or settling a problem, argument, etc.",B2,2986,B2
restoration,C2,noun,4,"the time in Britain after 1660 when, following a period with no king or queen, Charles II became king",C1,2708,C1
restorative,C2,adjective,2,connected with treatment that repairs the body or a part of it,,2540,UNCLASSIFIED
restriction,C1,noun,2,the act of limiting or controlling somebody/something,B2,2988,B2
retreat,C2,noun,3,an act of changing a decision because of criticism or because a situation has become too difficult,C1,2706,C1
revival,C2,noun,3,a new production of a play that has not been performed for some time,C1,2707,C1
rigid,C1,adjective,3,stiff and difficult to move or bend,,1625,UNCLASSIFIED
rip,C2,verb,3,to copy sound or video files from a website or CD on to a computer,C1,2709,C1
rocket,C1,noun,2,a missile (= a weapon that travels through the air) that carries a bomb and is driven by a stream of burning gases,B2,2991,B2
rocky,C2,adjective,2,difficult and not certain to continue or to be successful,,2989,UNCLASSIFIED
romance,C1,noun,4,"a feeling of excitement and adventure, especially connected to a particular place or activity",B2,2990,B2
romance,C1,noun,5,"a story of excitement and adventure, often set in the past",B2,2990,B2
sack,C2,verb,3,to knock down the quarterback,C1,2710,C1
sanction,C2,noun,2,official permission or approval for an action or a change,C1,2711,C1
sanctuary,C1,noun,1,an area where wild birds or animals are protected and encouraged to produce young,,2538,UNCLASSIFIED
sanctuary,C2,noun,4,a holy building or the part of it that is considered the most holy,,2539,UNCLASSIFIED
scandal,C1,noun,2,talk or reports about the very bad or wrong things that people have done or are thought to have done,B2,2992,B2
scandal,C1,noun,3,"an action, attitude, etc. that you think is very wrong and not at all acceptable",B2,2992,B2
scholar,C1,noun,2,"a student who has been given a scholarship to study at a school, college or university",B2,2993,B2
scholarship,C1,noun,2,the serious study of an academic subject and the knowledge and methods involved,B2,2995,B2
scramble,C2,verb,4,"to cook an egg by mixing the white and yellow parts together and heating them, sometimes with milk and butter",,2579,UNCLASSIFIED
screening,C1,noun,2,"the testing or examining of a large number of people or things for disease, faults, etc.",B2,2994,B2
screw,C2,noun,5,"a propeller on a ship, a boat or an aircraft",C1,2715,C1
segment,C2,noun,2,"one of the sections of an orange, a lemon, etc.",C1,2713,C1
seminar,C1,noun,2,a meeting for discussion or training,B2,2996,B2
settlement,C2,noun,3,"the conditions, or a document stating the conditions, on which money or property is given to somebody",C1,2714,C1
sexy,C1,adjective,3,sexually excited,B2,2997,B2
sexy,C1,adjective,4,exciting and interesting,B2,2997,B2
shed,C2,verb,3,to lose or drop what it is carrying,C1,2716,C1
shipping,C2,noun,3,the act of thinking two people should be in a romantic relationship,C1,2717,C1
shoddy,C2,adjective,1,made or done badly and with not enough care,,96,UNCLASSIFIED
shrink,C2,verb,3,to move back or away from something because you are frightened or shocked,C1,2718,C1
signature,C1,noun,2,the act of signing something,B2,2999,B2
signature,C1,noun,3,a particular quality that makes something different from other similar things and makes it easy to recognize,B2,2999,B2
significance,C1,noun,2,the meaning of something,B2,2998,B2
sketch,B2,noun,3,a short report or story that gives only basic details about something,C1,2719,C1
slam,C2,verb,3,to crash into something with a lot of force; to make somebody/something crash into something with a lot of force,C1,2720,C1
snap,C2,verb,4,"to speak or say something in an impatient, usually angry, voice",C1,2721,C1
snap,C2,verb,8,to start play by passing the ball back between your legs,C1,2721,C1
sophisticated,C1,adjective,3,able to understand difficult or complicated ideas,B2,2508,B2
span,C2,noun,3,the part of a bridge or an arch between one support and another,C1,2725,C1
speculate,C1,verb,2,"to buy goods, property, shares, etc., hoping to make a profit when you sell them, but with the risk of losing money",B2,3000,B2
spine,C2,noun,4,"any of the sharp, pointed parts like needles on some plants and animals",C1,2723,C1
spine,C2,noun,5,the narrow part of the cover of a book that the pages are joined to,C1,2723,C1
springboard,C2,noun,1,a strong board that you jump on and use to help you jump high in diving and gymnastics,,2573,UNCLASSIFIED
stake,C2,noun,6,the money that is paid to the winners in horse racing,C1,2724,C1
stake,C2,noun,7,used in the names of some horse races,C1,2724,C1
stall,C2,noun,2,a section inside a farm building that is large enough for one animal to be kept in,B2,2770,B2
stall,C2,noun,4,the seats that are nearest to the stage in a theatre,B2,2770,B2
stimulant,C2,noun,1,a drug or substance that makes you feel more active and gives you more energy,,62,UNCLASSIFIED
stimulate,C1,verb,2,to make somebody interested and excited about something,B2,2521,B2
stir,C2,verb,4,to make somebody excited or make them feel something strongly,C1,2728,C1
stir,C2,verb,6,to try to cause trouble,C1,2728,C1
strain,C2,noun,7,the sound of music being played or sung,C1,2727,C1
strand,C2,noun,3,"the land along the edge of the sea or ocean, or of a lake or river",C1,2726,C1
strictly,C1,adverb,3,in all details; exactly,B2,3004,B2
strictly,C1,adverb,4,"used to emphasize that something only applies to one particular person, thing or situation",B2,3004,B2
striking,C1,adjective,1,interesting and unusual enough to attract attention,C1,1368,B2
striking,C1,adjective,2,"very attractive, often in an unusual way",C1,1368,B2
strip,C1,noun,1,"a long narrow piece of paper, metal, cloth, etc.",C1,1369,UNCLASSIFIED
strip,C1,noun,2,"a long narrow area of land, sea, etc.",C1,1369,UNCLASSIFIED
strip,C2,noun,3,the uniform that is worn by the members of a sports team when they are playing,C1,2730,UNCLASSIFIED
strip,C2,noun,5,"a street that has many shops, stores, restaurants, etc. along it",C1,2730,UNCLASSIFIED
strip,C1,verb,1,to take off all or most of your clothes or another person’s clothes,C1,1370,UNCLASSIFIED
strip,C1,verb,3,"to remove a layer from something, especially so that it is completely exposed",C1,1370,UNCLASSIFIED
strip,C1,verb,4,to remove all the things from a place and leave it empty,C1,1370,UNCLASSIFIED
stroke,C1,noun,5,any of a series of repeated movements in swimming or rowing,B2,2612,B2
stroke,C1,noun,6,a style of swimming,B2,2612,B2
stroke,C2,noun,7,the person who sets the speed at which everyone in a boat rows,B2,2613,B2
stumble,C2,verb,3,"to make a mistake or mistakes and stop while you are speaking, reading to somebody or playing music",C1,2733,C1
stunning,C1,adjective,2,that surprises or shocks you very much,B2,3005,B2
subjective,B2,adjective,1,based on your own ideas or opinions rather than facts and therefore sometimes unfair,,2478,UNCLASSIFIED
suburban,C2,adjective,2,boring and ordinary,C1,2732,C1
suffering,C1,noun,2,feelings of pain and unhappiness,B2,2479,B2
suite,C2,noun,3,"a piece of music made up of three or more related parts, for example pieces from an opera",C1,2735,C1
suite,C2,noun,4,a set of related computer programs,C1,2735,C1
supplement,C2,noun,2,"an extra separate section, often in the form of a magazine, that is sold with a newspaper",C1,2736,C1
suspend,C1,verb,2,"to officially stop something for a time; to prevent something from being active, used, etc. for a time",B2,2614,B2
suspend,C1,verb,3,to officially delay something; to arrange for something to happen later than planned,B2,2614,B2
suspension,C2,noun,4,a liquid with very small pieces of solid matter floating in it; the state of such a liquid,C1,2737,C1
sustain,C2,verb,3,to experience something bad,C1,2497,C1
sustain,C2,verb,4,"to provide evidence to support an opinion, a theory, etc.",C1,2497,C1
sustainable,C1,adjective,2,that can continue or be continued for a long time,B2,2489,B2
swing,C2,noun,4,the swinging movement you make with your arms and body when you hit the ball in the game of golf,C1,2743,C1
sympathetic,C1,adjective,2,showing that you approve of somebody/something or that you share their views and are willing to support them,B2,3007,B2
sympathetic,C1,adjective,3,easy to like,B2,3007,B2
syndrome,C2,noun,2,"a set of opinions or a way of behaving that is typical of a particular type of person, attitude or social problem",C1,2738,C1
tackle,C2,noun,2,a player whose job is to stop opponents by knocking them to the ground,B2,2742,C1
tag,C2,noun,7,a children’s game in which one child runs after the others and tries to touch one of them,B2,3006,B2
temple,C1,noun,2,"each of the flat parts at the sides of the head, at the same level as the eyes and higher",B2,3008,B2
tension,C1,noun,5,the state of being stretched tight; the extent to which something is stretched tight,B2,2518,B2
tenure,C2,noun,2,"the right to stay permanently in your job, especially as a teacher at a university",C1,2739,C1
terminate,C2,verb,2,to end a journey,C1,2740,C1
terms,C1,noun,2,"conditions that you agree to when you buy, sell, or pay for something; a price or cost",B2,3009,B2
terms,C1,noun,3,a way of expressing yourself or of saying something,B2,3009,B2
terror,C1,noun,2,"a person, situation or thing that makes you very afraid",B2,3011,B2
terror,C1,noun,3,"violent action or the threat of violent action that is intended to cause fear, usually for political purposes",B2,3011,B2
timber,C2,noun,3,a long heavy piece of wood used in building a house or ship,C1,2745,C1
tissue,C1,noun,2,"a collection of cells that form the different parts of humans, animals and plants",B2,3013,B2
toll,C2,noun,4,a charge for a phone call that is calculated at a higher rate than a local call,C1,2746,C1
total,C2,verb,3,"to damage a car very badly, so that it is not worth repairing it",B1,2751,C1
toxicity,C2,noun,1,the fact of being poisonous; the extent to which something is poisonous,,2561,UNCLASSIFIED
tragic,C1,adjective,2,connected with tragedy (= the style of literature),B2,3012,B2
transcript,C2,noun,2,an official record of a student’s work that shows the courses they have taken and the grades they have achieved,C1,2747,C1
transmit,C1,verb,2,to pass something from one person to another,B2,3014,B2
trap,C1,noun,3,an unpleasant situation from which it is hard to escape,B2,3015,B2
trauma,C2,noun,3,an injury,C1,2748,C1
tribe,C2,noun,3,a group of related animals or plants,B2,3016,B2
trigger,C2,verb,3,to make somebody feel very upset or anxious by reminding them of a trauma or bad experience,B2,2795,B2
trio,C2,noun,3,a piece of music for three musicians or singers,C1,2750,C1
uncertain,B1,adjective,1,feeling doubt about something; not sure,,8,UNCLASSIFIED
uncertainty,C1,noun,2,something that you cannot be sure about; a situation that makes you not be or feel certain,B2,3017,B2
undertake,C1,verb,2,to agree or promise that you will do something,B2,3018,B2
unfold,C1,verb,2,to be gradually made known; to gradually make something known to other people,B2,2615,B2
unity,C1,noun,2,the quality of looking or being complete in a natural and attractive way,B2,3019,B2
utility,C2,noun,3,a piece of computer software that performs a particular task,C1,2752,C1
validate,C2,verb,2,to make something legally recognized,,2511,UNCLASSIFIED
variation,C2,noun,3,any of a set of short pieces of music based on a simple tune repeated in a different and more complicated form,B2,3021,B2
verse,C2,noun,4,any one of the short numbered divisions of a chapter in the Bible,C1,2753,C1
viewpoint,C1,noun,2,a direction or place from which you look at something,B2,3020,B2
vital,C2,adjective,3,full of energy and enthusiasm,B2,2480,B2
wander,C1,verb,3,"to stop being directed on something and to move without much control to other ideas, subjects, etc.",B2,3022,B2
wander,C1,verb,4,to move slowly from looking at one thing to looking at another thing or in other directions,B2,3022,B2
ward,C2,noun,3,"a person, especially a child, who is under the legal protection of a court or another person (called a guardian)",C1,2758,C1
weed,C2,noun,3,tobacco or cigarettes,C1,2755,C1
weed,C2,noun,4,the drug cannabis,C1,2755,C1
whip,C2,verb,7,to tell the MPs belonging to a political party that they must vote a particular way on an issue,C1,2756,C1
wit,C2,noun,2,a person who has the ability to say or write things that are both clever and humorous,C1,2757,C1
withdraw,C1,verb,2,to move back or away from a place or situation; to make somebody/something do this,B2,3023,B2
withdraw,C1,verb,4,to stop giving or offering something to somebody,B2,3023,B2
wither,C2,verb,1,"if a plant withers or something withers it, it dries up and dies",,205,UNCLASSIFIED
worm,C1,noun,2,"long, thin creatures that live inside the bodies of humans or animals and can cause illness",B2,3024,B2
worm,C1,noun,3,the young form of an insect when it looks like a short worm,B2,3024,B2
worm,C2,noun,4,a computer program that is a type of virus and that spreads across a network by copying itself,B2,3025,B2
