word,missing_cefr,source_pos,source_def_idx,sense_text,badge
absorb,C1,verb,6,to make something smaller become part of something larger,B2
accommodate,C1,verb,3,to consider something such as somebody’s opinion or a fact and be influenced by it when you are deciding what to do or e,B2
agile,C2,adjective,3,"used to describe a way of managing projects in which work is divided into a series of short tasks, with regular breaks t",
agile,C2,adjective,4,"used to describe a way of working in which the time and place of work, and the roles that people carry out, can all be c",
ally,C2,noun,3,"a person who offers their support to a particular group of people in society that they themselves do not belong to, in o",C1
angel,C2,noun,4,"a person who supports a business by investing money in it, especially somebody who supports a new small business with th",C1
archive,C2,verb,1,to put or store a document or other material in an archive,C1
archive,C2,verb,2,"to move information that is not often needed to a different disk, tape or other computer to store it",C1
arm,A1,noun,1,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,C1
arm,A1,noun,2,the part of a piece of clothing that covers the arm,C1
aside,C2,noun,1,"something that a character in a play says to the audience, but that the other characters on stage are not intended to he",B2
automatic,C2,noun,1,a gun that can fire bullets continuously as long as the trigger is pressed,B2
automatic,C1,noun,2,a vehicle with a system of gears that operates without direct action from the driver,B2
beam,C2,verb,1,to have a big happy smile on your face,C1
beam,C2,verb,2,to send radio or television signals over long distances using electronic equipment,C1
bench,C2,verb,1,"to remove a player from a team, or not include them in the team that starts a game",C1
bench,C2,verb,2,"to be attracted to somebody and want to see them occasionally, but not regularly or as part of a serious relationship",C1
bias,C1,noun,3,the fact that the results of research or an experiment are not accurate because a particular factor has not been conside,B2
bias,C1,verb,1,to unfairly influence somebody’s opinions or decisions,B2
bias,C1,verb,2,to have an effect on the results of research or an experiment so that they do not show the real situation,B2
bishop,C2,noun,2,a piece used in the game of chess that is like a bishop’s hat in shape and can move any number of squares in a diagonal ,C1
bond,C2,noun,2,an agreement by a government or a company to pay you interest on the money you have lent; a document containing this agr,B2
bond,C2,noun,4,"a legal agreement by which a bank lends you money to buy a house, etc. which you pay back over many years; the sum of mo",B2
bond,C1,verb,1,to join two things strongly together; to join strongly to something else,B2
bond,C1,verb,2,to develop or create a relationship of trust with somebody,B2
bounce,C2,noun,4,the quality in a person’s hair that shows that it is in good condition and means that it does not lie flat,C1
breach,C2,verb,2,"to make a hole in a wall, fence, etc. so that somebody/something can go through it",C1
buffer,C2,noun,2,"one of two round metal devices on the front or end of a train, or at the end of a railway track, that reduce the shock i",C1
bug,C1,verb,1,to put a special device (= a bug) somewhere in order to listen secretly to other people’s conversations,B2
casual,C1,adjective,5,without deep feelings,B2
casual,C1,adjective,6,happening by chance; doing something by chance,B2
caution,C2,verb,3,to warn somebody officially that they will be punished if they do something wrong or illegal again,C1
chapel,C2,noun,1,"a small building or room where Christians go to pray, attend religious services, etc. in a school, prison, large private",
chapel,C2,noun,4,"a small building or room used for funeral services, especially at a cemetery or crematorium",
charter,C2,verb,1,"to hire a plane, boat, etc. for your own use",C1
chemistry,C1,noun,2,the chemical structure and behaviour of a particular substance,A2
chemistry,C2,noun,3,"the relationship between two people, usually a strong sexual attraction",A2
collision,C2,noun,2,"a strong disagreement between two people or between ideas, opinions, etc. that are opposed to each other; the meeting of",C1
competitive,B2,adjective,3,as good as or better than others,B1
concession,C2,noun,3,a reduction in an amount of money that has to be paid; a ticket that is sold at a reduced price to a particular group of,C1
contract,C2,verb,5,to formally agree to marry somebody/form an alliance with somebody,B2
contrast,C1,noun,3,"differences in colour or in light and dark, used in photographs and paintings to create a special effect",B1
contrast,C2,noun,4,the amount of difference between light and dark in a photograph or the picture on a television screen,B1
coordinate,C2,noun,1,either of two numbers or letters used to fix the position of a point on a map or graph,C1
coordinate,C2,noun,2,"pieces of clothing that can be worn together because, for example, the colours look good together",C1
crack,C2,verb,8,to find a way of stopping or defeating a criminal or an enemy,B2
crawl,C2,noun,2,"a fast swimming stroke that you do lying on your front moving one arm over your head, and then the other, while kicking ",C1
crown,C2,noun,11,the part of the tooth that is above the gum,C1
crown,C2,noun,13,a unit of money in several European countries,C1
crown,C2,noun,14,an old British coin worth five shillings (= now 25p),C1
crown,C2,verb,3,"to make something complete or perfect, especially by adding an achievement, a success, etc.",C1
cutting,C2,adjective,1,unkind and likely to hurt somebody’s feelings,C1
dare,C1,verb,2,"to challenge somebody to do something dangerous, difficult or embarrassing so that they can show that they are not afrai",B2
deck,C2,noun,6,a set of slides (= pages created on a computer that contain text and images) that are used to accompany a person’s prese,B2
default,C2,verb,1,"to fail to do something that you legally have to do, especially by not paying a debt",C1
default,C2,verb,2,to happen when you do not make any other choice or change,C1
deposit,C2,noun,4,"(in the British political system) the amount of money that a candidate in an election to Parliament has to pay, and that",C1
deposit,C1,noun,6,"a layer of a substance that has been left somewhere, especially by a river, flood, etc., or is found at the bottom of a ",C1
deposit,C1,verb,1,to put money into a bank account,C1
deposit,C1,verb,2,to pay a sum of money as the first part of a larger payment; to pay a sum of money that you will get back if you return ,C1
deposit,C2,verb,4,"to leave a layer of something on the surface of something, especially gradually and over a period of time",C1
dialogue,B2,noun,2,"a formal discussion between two groups or countries, especially when they are trying to solve a problem, end a disagreem",A1
dip,C2,noun,2,"a decrease in the amount or success of something, usually for only a short period",C1
dip,C2,noun,3,a place where a surface suddenly drops to a lower level and then rises again,C1
dip,C2,verb,3,"if you dip your headlights when driving a car at night, you make the light from them point down so that other drivers do",C1
discipline,C2,verb,2,"to train somebody, especially a child, to obey particular rules and control the way they behave",B2
domesticated,C1,adjective,1,used to living with or working for humans,
dominant,C2,adjective,2,"a dominant gene causes a person to have a particular physical characteristic, for example brown eyes, even if only one o",B2
dot,C2,noun,4,"a small round mark that appears after a musical note to show that it should last for an extra half of its usual length, ",B2
dull,C1,adjective,5,"not very severe, but continuous",B2
dynamic,C1,noun,1,the way in which people or things behave and react to each other in a particular situation,B2
dynamic,C2,noun,2,the science of the forces involved in movement,B2
dynamic,C2,noun,4,changes in volume in music,B2
eligible,C2,adjective,2,"an eligible young man or woman is thought to be a good choice as a husband/wife, usually because they are rich or attrac",C1
embed,C2,verb,2,"to send a journalist, photographer, etc. to an area where there is fighting, so that they can travel with the army and r",C1
embryo,C1,noun,1,"a young animal or plant in the very early stages of development before birth, or before coming out of its egg or seed, e",
engaged,B2,adjective,3,being used,B1
erode,C1,verb,1,"to gradually destroy the surface of something through the action of wind, rain, etc.; to be gradually destroyed in this ",
exhibit,C1,verb,2,"to show clearly that you have or feel a particular quality, ability, feeling or symptom",B2
exit,C1,verb,1,"to go out; to leave a building, stage, vehicle, etc.",C1
exit,C1,verb,2,to finish using a computer program,C1
exposure,C1,noun,2,"the fact of having the true facts about somebody/something told after they have been hidden because they are bad, dishon",B2
extension,C2,noun,8,a part of a college or university that offers courses to students who are not studying full-time; a programme of study f,B2
extension,C2,noun,9,the set of three letters that are placed after the dot (= small round mark) at the end of the name of a file and that sh,B2
extract,C1,verb,1,"to remove or obtain a substance from something, for example by using an industrial or a chemical process",C1
fantasy,C2,noun,5,"a competition in which you choose players to make your own imaginary team, and score points according to the performance",B2
filter,C2,noun,3,"a program that processes information to leave out the types that are not wanted, or that stops particular types of elect",C1
filter,C2,verb,6,to turn left (or right) at traffic lights while other vehicles wanting to go straight ahead or turn right (or left) must,C1
fit,A2,adjective,1,"healthy and strong, especially because you do regular physical exercise",A2
fit,B2,adjective,2,suitable; of the right quality; with the right qualities or skills,A2
fit,C2,adjective,4,sexually attractive,A2
fit,A2,verb,1,to be the right shape and size for somebody/something,A2
fit,A2,verb,2,"to be of the right size, type or number to go somewhere",A2
fit,B2,verb,4,to put or fix something somewhere,A2
fit,B2,verb,5,to put or join something in the right place,A2
fit,B2,verb,6,"to agree with, match or be suitable for something; to make something do this",A2
fool,B1,verb,1,to trick somebody into believing something that is not true,B2
gender,C1,noun,2,"each of the classes (masculine, feminine and sometimes neuter) into which nouns, pronouns and adjectives are divided; th",B2
glitch,C2,noun,2,a type of electronic music that uses sound recordings and electronic instruments that have been made to work incorrectly,
governor,C1,noun,3,"a member of a group of people who are responsible for controlling an institution such as a school, a college or a hospit",B2
hail,C2,noun,1,small balls of ice that fall like rain,C1
handicap,C2,noun,4,the number of strokes (= hits) over par (= the expected number of strokes for a good player) that a player usually needs,
hook,C2,noun,3,"a way of hitting the ball so that it curves to the side instead of going straight ahead (usually by mistake in golf, but",B2
incentive,C1,noun,2,a payment or concession (= a reduction in the amount of money that has to be paid) that encourages somebody to do someth,B2
indeed,B2,adverb,3,used to add information to a statement,B1
index,C2,noun,7,the small number written above a larger number to show how many times that number must be multiplied by itself. In the e,B2
induce,C2,verb,3,to make a woman start giving birth to her baby by giving her special drugs; to make a baby start being born by giving th,C1
inherit,C1,verb,3,"if you inherit a particular situation from somebody, you are now responsible for dealing with it, especially because you",B2
ink,C2,verb,1,to cover something with ink so that it can be used for printing,B2
ink,C2,verb,2,"to sign a document, especially a contract",B2
ink,C2,verb,3,to mark somebody's skin with a tattoo (= a picture or design marked permanently in ink),B2
inspector,C1,noun,2,"a person whose job is to visit schools, factories, etc. to check that rules are being obeyed and that standards are acce",B2
integrate,C1,verb,2,"to become or make somebody become accepted as a member of a social group, especially when they come from a different cul",B2
interaction,C1,noun,2,"if one thing has an interaction with another, or if there is an interaction between two things, the two things have an e",B2
invent,B1,verb,2,"to say or describe something that is not true, especially in order to trick people",A2
isolate,C1,verb,2,,B2
landing,C1,noun,2,the area at the top of a set of stairs where you arrive before you go into an upstairs room or move onto another set of ,B2
leverage,C2,noun,1,the ability to influence what people do,
leverage,C2,noun,3,the relationship between the amount of money that a company owes and the value of its shares,
leverage,C2,noun,4,"the practice of borrowing money for an investment, in the hope of increasing profits in the future",
license,B2,noun,1,"an official document that shows that permission has been given to do, own or use something",C1
line-up,C2,noun,3,"a row of people, including one person who is suspected of a crime, who are shown to a witness to see if they can recogni",C1
lobby,C2,noun,2,(in the British Parliament) a large hall that is open to the public and used for people to meet and talk to Members of P,C1
maintenance,C2,noun,4,"money that somebody must pay regularly to their former wife, husband or partner, especially when they have had children ",C1
manual,C1,adjective,1,involving using the hands or physical strength,
mediate,C2,verb,1,to try to end a situation between two or more people or groups who disagree by talking to them and trying to find things,
mutation,C1,noun,1,"a process in which the genetic material of a person, a plant or an animal changes in structure when it is passed on to c",
occupation,C1,noun,3,"the act of moving into a country, town, etc. and taking control of it using military force; the period of time during wh",B2
occupy,C1,verb,5,to have an official job or position,B2
paradox,C1,noun,2,"a statement containing two opposite ideas that make it seem impossible or unlikely, although it is probably true; the us",
patch,C2,noun,9,a small piece of code (= instructions that a computer can understand) which can be added to a computer program to improv,C1
patch,C2,verb,2,to improve a computer program or correct a fault in it by adding a small piece of code (= instructions that a computer c,C1
patron,C2,noun,2,"a famous person who supports an organization such as a charity and whose name is used in the advertisements, etc. for th",C1
penalty,C1,noun,4,"a chance to score a goal or point without any defending players, except the goalkeeper, trying to stop it; the goal or p",B2
pitch,C2,verb,2,to throw the ball to the person who is batting,B2
pitch,C2,verb,4,to hit the ball in a high curve,B2
pitch,C2,verb,6,to move up and down on the water or in the air,B2
pitch,C2,verb,11,to set up a tent or a camp for a short time,B2
plague,C1,noun,1,"a disease spread by rats that causes a high temperature, swellings (= areas that are larger and rounder than usual) on t",
plague,C1,noun,2,any disease that spreads quickly and kills a lot of people,
plague,C2,noun,3,large numbers of an animal or insect that come into an area and cause great damage,
pop,A2,adjective,1,connected with modern popular music,A2
pop,A2,noun,1,"popular music of the sort that has been popular since the 1950s, usually with a strong rhythm and simple tunes, often co",A2
probe,C2,verb,2,"to touch, examine or look for something, especially with a long, thin instrument",C1
progressive,B1,adjective,3,connected with the form of a verb (for example I am waiting or It is raining) that is made from a part of be and the pre,B2
promotion,C1,noun,3,activities done in order to increase the sales of a product or service; a set of advertisements for a particular product,B2
prompt,C2,noun,1,"a word or words said to an actor, to remind them what to say next when they have forgotten",B2
prompt,C2,noun,2,a sign on a computer screen that shows that the computer has finished doing something and is ready for more instructions,B2
prompt,C2,noun,3,an instruction given to an artificial intelligence program to tell it what you want it to produce,B2
rage,C2,verb,1,"to show that you are very angry about something or with somebody, especially by shouting",C1
rally,C2,verb,2,"to become healthier, stronger, etc. after a period of illness, weakness, etc.",C1
referee,C1,noun,2,"a person who gives information about your character and ability, usually in a letter, for example when you are applying ",B2
retirement,C1,noun,3,"the act of stopping a particular type of work, especially in sport, politics, etc.; the period of your life after a care",B2
rocket,C1,verb,1,to increase very quickly and suddenly,B2
rocket,C2,verb,3,to achieve or to make somebody/something achieve a successful position very quickly,B2
sabotage,C2,noun,1,"the act of doing deliberate damage to equipment, transport, machines, etc. to prevent an enemy from using them, or to pr",
sanction,C2,verb,1,to give permission for something to take place,C1
say,A1,verb,1,"to speak or tell somebody something, using words",C1
say,A1,verb,2,"to repeat words, phrases, etc.",C1
say,A2,verb,3,to give particular information or instructions,C1
say,B1,verb,4,to express an opinion on something,C1
say,B1,verb,5,"to make thoughts, feelings, etc. clear to somebody by using words, looks, movements, etc.",C1
say,B1,verb,6,"to show, sometimes indirectly, what somebody/something is like",C1
say,B2,verb,7,to suggest or give something as an example or a possibility,C1
say,C2,exclamation,2,used for attracting somebody’s attention or for making a suggestion or comment,C1
shoot,B1,verb,1,to fire a gun or other weapon; to fire something from a weapon,C1
shoot,B1,verb,2,"to kill or wound a person or an animal with a bullet, etc.",C1
shoot,B1,verb,4,to hunt and kill birds and animals with a gun as a sport,C1
shoot,B2,verb,5,to make a film or photograph of something,C1
shoot,B2,verb,9,"to try to kick, hit or throw the ball into a goal or to score a point",C1
shoot,C2,verb,10,to make a particular score in a complete round or competition,C1
slam,C2,noun,2,"a competition in which people perform their poems to an audience, which chooses a winner",C1
slam,C2,noun,3,"a set of very important competitions in a particular sport in the same year in tennis, golf or rugby; one of the individ",C1
snap,C2,noun,2,"a photograph, especially one taken quickly",C1
snap,C2,noun,3,a card game in which players take turns to put cards down and try to be the first to call out ‘snap’ when two similar ca,C1
sophisticated,C1,adjective,2,"having a lot of experience of the world and knowing about fashion, culture and other things that people think are social",B2
spam,C2,noun,2,"cooked meat that has been cut up in very small pieces that are pressed together in a container, usually sold in cans and",C1
speculation,C1,noun,2,"the activity of buying and selling goods or shares in a company in the hope of making a profit, but with the risk of los",B2
spin,C2,noun,5,"a way of presenting information or a situation in a particular way, especially one that makes you or your ideas seem goo",C1
spoil,C2,noun,2,the profits or advantages that somebody gets from being successful,B2
spoil,C1,verb,2,to give a child everything that they ask for and not enough discipline in a way that has a bad effect on their character,B2
stake,C2,noun,3,"something that you risk losing, especially money, when you try to predict the result of a race, game, etc., or when you ",C1
stall,C2,verb,1,to stop suddenly because of a lack of power or speed; to make a vehicle or an engine do this,B2
strain,C2,verb,5,"to pour food, etc. through something with very small holes in it, for example a sieve, in order to separate the solid pa",C1
stroke,C1,noun,4,"a sudden serious illness when a blood vessel (= tube) in the brain bursts (= breaks open) or is blocked, which can cause",B2
stroke,C1,verb,1,to move your hand gently and slowly over an animal’s fur or hair,B2
stumble,C2,noun,1,a problem or temporary failure when you are on the way to achieving something,C1
suspend,C1,verb,4,"to officially prevent somebody from doing their job, going to school, etc. for a time, as a punishment or while a compla",B2
suspension,C2,noun,3,"the system of springs, etc. by which a vehicle is supported on its wheels and that makes it more comfortable to ride in ",C1
swing,C2,verb,7,"to succeed in getting or achieving something, sometimes in a slightly dishonest way",C1
tap,C2,noun,6,a speech sound that is produced by striking the tongue quickly and lightly against the part of the mouth behind the uppe,B2
tap,C1,verb,3,"to make use of a source of energy, knowledge, etc. that already exists",B2
tap,C1,verb,4,to fit a device to a phone so that somebody’s calls can be listened to secretly,B2
thesis,C1,noun,2,a statement or an opinion that is discussed in a logical way and presented with evidence in order to prove that it is tr,B2
timeline,B2,noun,2,a list of all somebody’s social media activity on a particular website or software program in the order in which it happ,
total,B1,adjective,1,being the amount or number after everyone or everything is counted or added together,B1
total,B1,adjective,2,"used when you are emphasizing something, to mean ‘to the greatest degree possible’",B1
trap,C1,verb,5,to catch an animal in a trap,B2
trap,C1,verb,6,"to catch or keep something in a place and prevent it from escaping, especially so that you can use it",B2
trap,C1,verb,7,to trick somebody into something,B2
warrior,C2,noun,2,"a person who leads or takes part in a campaign for a political or social cause, especially in an aggressive way that oth",C1
whip,C2,noun,2,an official in a political party who is responsible for making sure that the party's MPs attend and vote in important de,C1
whip,C2,noun,3,a written instruction telling the MPs of a political party how to vote on a particular issue,C1
whip,C2,noun,4,"the fact of being an MP belonging to a particular party, with the duties and rights associated with that",C1
withdraw,C1,verb,3,to stop taking part in an activity or being a member of an organization; to stop somebody/something from doing these thi,B2
withdraw,C1,verb,5,to say that you no longer believe that something you previously said is true,B2
